,Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,KhoiA00,KhoiA01,KhoiB00,KhoiC00,KhoiD00,KhoiD07
209,53000210,5.2,7.0,3.2,,,,,7.5,6.0,8.75,7.42,,,,20.5,15.399999999999999,
210,53000211,5.8,9.0,5.8,,,,,7.25,7.75,9.25,8.08,,,,24.0,20.6,
211,53000212,6.4,7.75,6.6,,,,,5.25,5.75,7.75,6.25,,,,18.75,20.75,
212,53000213,7.6,7.0,5.4,8.75,7.5,6.5,7.58,,,,,23.85,21.75,21.6,,20.0,20.5
213,53000214,7.6,4.75,7.4,8.25,8.25,5.75,7.42,,,,,24.1,23.25,21.6,,19.75,23.25
214,53000215,6.6,7.75,5.2,,,,,6.5,8.0,9.5,8.0,,,,22.25,19.549999999999997,
215,53000216,5.6,7.75,3.6,,,,,6.75,2.5,6.5,5.25,,,,17.0,16.95,
216,53000217,6.8,6.5,6.0,,,,,6.5,4.75,7.25,6.17,,,,17.75,19.3,
217,53000218,5.4,6.0,5.2,,,,,5.5,5.25,7.5,6.08,,,,16.75,16.6,
218,53000219,6.6,7.0,6.0,5.5,7.25,5.25,6.0,,,,,19.35,18.1,19.1,,19.6,19.85
219,53000220,6.2,9.0,6.0,,,,,6.75,5.75,8.5,7.0,,,,21.5,21.2,
220,53000221,7.0,8.0,8.0,7.75,7.5,7.25,7.5,,,,,22.25,22.75,21.75,,23.0,22.5
221,53000222,6.2,5.0,4.4,5.25,6.75,6.0,6.0,,,,,18.2,15.850000000000001,18.95,,15.600000000000001,17.35
222,53000223,8.0,9.25,6.8,,,,,8.25,6.75,8.25,7.75,,,,24.25,24.05,
223,53000224,6.4,7.5,6.2,6.75,6.25,5.25,6.08,,,,,19.4,19.35,17.9,,20.1,18.85
224,53000225,7.0,7.5,7.4,,,,,7.25,6.0,9.5,7.58,,,,20.75,21.9,
225,53000226,6.8,7.75,6.0,,,,,6.0,5.25,7.5,6.25,,,,19.0,20.55,
226,53000227,6.6,6.75,4.8,6.5,7.0,5.25,6.25,,,,,20.1,17.9,18.85,,18.15,18.4
227,53000228,8.6,8.25,7.6,7.75,8.75,7.25,7.92,,,,,25.1,23.95,24.6,,24.45,24.950000000000003
228,53000229,8.2,6.5,8.4,7.25,8.75,6.75,7.58,,,,,24.2,23.85,23.7,,23.1,25.349999999999998
229,53000230,7.0,7.75,6.8,7.0,8.25,6.5,7.25,,,,,22.25,20.8,21.75,,21.55,22.05
230,53000231,7.0,8.0,4.6,,,,,6.5,4.75,9.0,6.75,,,,19.25,19.6,
231,53000232,5.6,6.25,4.6,5.0,6.75,5.25,5.67,,,,,17.35,15.2,17.6,,16.45,16.95
232,53000233,8.4,8.0,8.2,,,,,5.75,7.0,9.25,7.33,,,,20.75,24.6,
233,53000234,6.8,6.5,4.8,6.5,6.5,6.5,6.5,,,,,19.8,18.1,19.8,,18.1,18.1
234,53000235,5.4,5.5,3.6,,,,,4.75,5.5,6.75,5.67,,,,15.75,14.5,
235,53000236,7.8,7.25,5.4,7.5,7.0,6.5,7.0,,,,,22.3,20.7,21.3,,20.45,20.2
